20727,CORTADOR MOLDURA 2 M  1UN,4.5,4.77
14902,CORTADOR MOLDURA 2 1UN,3.5,3.899501
14903,CORTADOR MOLDURA 3 1UN,5.5,6.160988
27256,CORTADOR MOLDURA 6  M  1UN,5,5.600899
27257,CORTADOR MOLDURA 7  M  1UN,5,5.600899
19256,CORTADOR OVO DA  PASCOA G  1UN,6.5,7.281168
19253,CORTADOR PATA DE COELHO M 1UN,6,6.721078
20697,CORTADOR POMBA 1 P  1UN,4,4.456572
27249,CORTADOR PONTO DE INTERROGACAO 1 G  1UN,5.5,6.160988
27235,CORTADOR RABO DE SEREIA 1 G 1UN,6,6.721078
27280,CORTADOR URSO 2  G 1UN,5,0
17844,CORTADOR VIVO M 1UN,6,6.721078
17856,CORTADOR VIVO P 1UN,6,6.721078
26133,ARO CORTADOR LETRA T 21CM CAPARROZ 1UN,22.17,22.586709
27167,ARO CORTADOR LETRA U 21CM CAPARROZ 1UN,22.17,0
24332,ASSAD.CUPCAKE C-12 CAV.CAPARROZ 1UN,29.18,29.738233
24331,ASSAD.CUPCAKE PEQ.C-12 CAV.CAPARROZ 1UN,20.48,21.003092
24352,ASSADEIRA FLOR 25X5CM CAPARROZ 1UN,21.3,21.294796
24290,ASSADEIRA MADELEI.31.5X30CM CAPARROZ 1UN,23.72,23.71466
27190,ASSAD.MINI BALLERINE ALUM.CAPARROZ 1UN,23.83,0
27164,BAILARINA ALUMINIO CAPARROZ 1UN,54.48,0
27178,BAILARINA ALUM.20CM CAPARROZ AMARELA 1UN,39.6,0
27177,BAILARINA ALUM.20CM CAPARROZ BRANCA 1UN,39.6,0
27182,BAILARINA ALUM.20CM CAPARROZ PRETA 1UN,39.6,0
27179,BAILARINA ALUM.20CM CAPARROZ VERDE 1UN,39.6,0
27176,BAILARINA ALUM.20CM CAPARROZ VERMELHA1UN,39.6,0
27185,BAILARINA ALUM.20CM CAPARROZ VIOLETA 1UN,39.6,0
27174,BAILARINA ALUM.25CM CAPARROZ AMARELA 1UN,48.4,0
27173,BAILARINA ALUM.25CM CAPARROZ BRANCA 1UN,48.4,0
27181,BAILARINA ALUM.25CM CAPARROZ PRETA 1UN,48.4,0
27175,BAILARINA ALUM.25CM CAPARROZ VERDE 1UN,48.4,0
27172,BAILARINA ALUM.25CM CAPARROZ VERMELHA1UN,48.4,0
27184,BAILARINA ALUM.25CM CAPARROZ VIOLETA 1UN,48.4,0
27170,BAILARINA ALUM.30CM CAPARROZ AMARELA 1UN,66,0
